time,I_750,I_800,I_850,I_900
0,0.00349835349835,0.00041477041477,0.00042587042587,0.000634088134088
15,0.00353313353313,0.00030118030118,0.00046805046805,0.000532523032523
30,0.00347837347837,0.0003219003219,0.00041033041033,0.000627428127428
45,0.00350797350797,0.00044844044844,0.00038554038554,0.000590798090798
60,0.00361009361009,0.00047545047545,0.000546860546861,0.000540015540016
75,0.00348429348429,0.00032745032745,0.000574980574981,0.000677655677656
90,0.0034262034262,0.00036186036186,0.00043327043327,0.000670718170718
105,0.0035076035076,0.00035594035594,0.000582750582751,0.000665168165168
120,0.00335886335886,0.00029896029896,0.0004958004958,0.000679320679321
135,0.00367299367299,0.00031117031117,0.000585710585711,0.000704295704296
150,0.00375032375032,0.00036408036408,0.000765530765531,0.000928515928516
165,0.00387131387131,0.00045103045103,0.000552040552041,0.000819735819736
180,0.00366374366374,0.00035187035187,0.00048655048655,0.000906870906871
195,0.00358715358715,0.00047397047397,0.000613090613091,0.000908813408813
210,0.00317349317349,0.00038554038554,0.000589410589411,0.00104784104784
225,0.00342731342731,0.00043919043919,0.000519110519111,0.000938505938506
240,0.00345321345321,0.00032264032264,0.000848040848041,0.00115273615274
255,0.0036075036075,0.000558330558331,0.000822880822881,0.00109501609502
270,0.00349243349243,0.0004144004144,0.000749620749621,0.00117798867799
285,0.00384134384134,0.00047804047804,0.000796240796241,0.00167471417471
300,0.00391941391941,0.000811780811781,0.00116883116883,0.00153318903319
315,0.00364894364894,0.000618640618641,0.00119473119473,0.00161865911866
330,0.00339845339845,0.000701890701891,0.00116032116032,0.00182622932623
345,0.00347356347356,0.000801790801791,0.00159174159174,0.0019092019092
360,0.00385059385059,0.000696710696711,0.0014652014652,0.00197274947275
375,0.00376179376179,0.000876530876531,0.00156177156177,0.00222832722833
390,0.00378843378843,0.000858030858031,0.00125282125282,0.00212953712954
405,0.00408036408036,0.000896510896511,0.00179302179302,0.0026578976579
420,0.00401746401746,0.000926110926111,0.00240574240574,0.00282745032745
435,0.00389943389943,0.00142154142154,0.00230029230029,0.00293928293928
450,0.00429311429311,0.00115551115551,0.00230695230695,0.00348318348318
465,0.00421874421874,0.00125578125578,0.00280053280053,0.00363081363081
480,0.00440115440115,0.00138935138935,0.00288711288711,0.00378454878455
495,0.00459059459059,0.00183113183113,0.00305213305213,0.00417138417138
510,0.00419506419506,0.00174492174492,0.00325082325082,0.00432511932512
525,0.00469567469567,0.00151996151996,0.00354793354793,0.00465700965701
540,0.00445813445813,0.00192881192881,0.00389055389055,0.00514208014208
