time,V_tc
2269.9959,-1.1254e-05
2279.9957,-1.1609e-05
2289.9953,-1.2168e-05
2299.996,-1.1724e-05
2309.9958,-1.2244e-05
2319.9953,-1.1952e-05
2329.9957,-1.2523e-05
2339.996,-1.2459e-05
2349.9969,-1.3018e-05
2359.996,-1.298e-05
2369.9954,-1.3157e-05
2379.9956,-1.3525e-05
2389.9956,-1.3779e-05
2399.9961,-1.3881e-05
2409.9961,-1.4274e-05
2419.9954,-1.4629e-05
2429.9956,-1.4984e-05
2439.9956,-1.4731e-05
2449.9951,-1.5035e-05
2459.9953,-1.6139e-05
2469.995,-1.5961e-05
2479.9949,-1.5733e-05
2489.9952,-1.5809e-05
2499.9952,-1.572e-05
2509.9949,-1.6532e-05
2519.9954,-1.6266e-05
2529.9954,-1.6773e-05
2539.9955,-1.6913e-05
2549.9948,-1.7167e-05
2559.9954,-1.7763e-05
2569.9949,-1.789e-05
2579.9956,-1.756e-05
2589.996,-1.7928e-05
2599.9953,-1.7865e-05
2609.9953,-1.8816e-05
2619.9946,-1.8461e-05
2629.9952,-1.8283e-05
2639.9951,-1.86e-05
2649.9947,-1.8842e-05
2659.9947,-1.9235e-05
2669.9948,-1.9501e-05
2679.995,-1.9704e-05
2689.9949,-1.9755e-05
2699.9946,-1.9717e-05
2709.9957,-2.0034e-05
2719.9953,-1.9996e-05
2729.9951,-2.0618e-05
2739.9951,-2.0745e-05
2749.9949,-2.0161e-05
2759.9946,-2.0339e-05
2769.9945,-2.0186e-05
2779.9943,-2.0745e-05
2789.9943,-2.0732e-05
2799.995,-2.0047e-05
2809.9948,-2.0161e-05
2819.9948,-2.0085e-05
2829.9954,-2.0212e-05
2839.9946,-2.0389e-05
2849.9945,-2.044e-05
2859.9947,-2.0072e-05
2869.9948,-2.0605e-05
2879.9948,-2.0542e-05
2889.9942,-2.0719e-05
2899.9943,-2.0897e-05
2909.9945,-2.0834e-05
2919.9954,-2.0618e-05
2929.9944,-2.0592e-05
2939.9947,-2.0808e-05
2949.9939,-2.1087e-05
2959.9939,-2.0998e-05
2969.9946,-2.0707e-05
2979.9939,-2.124e-05
2989.9944,-2.0986e-05
2999.9941,-2.1265e-05
3009.9946,-2.1354e-05
3019.9946,-2.1785e-05
3029.9943,-2.162e-05
3039.9949,-2.1607e-05
3049.9943,-2.1696e-05
3059.994,-2.1138e-05
3069.9943,-2.1404e-05
3079.9942,-2.1531e-05
3089.9942,-2.1785e-05
3099.9947,-2.1722e-05
3109.9935,-2.1544e-05
3119.9941,-2.1531e-05
3129.9943,-2.1404e-05
3139.994,-2.2052e-05
3149.9944,-2.2508e-05
