Wavelength,Intensity
350,0.000357975357975
351,0.00045917045917
352,0.000516150516151
353,0.000605320605321
354,0.000580900580901
355,0.000535020535021
356,0.000521700521701
357,0.000677100677101
358,0.000653235653236
359,0.000541310541311
360,0.000533910533911
361,0.00044178044178
362,0.000591630591631
363,0.000595330595331
364,0.000740925740926
365,0.000757390757391
366,0.000505050505051
367,0.000606060606061
368,0.000502090502091
369,0.000728715728716
370,0.000856550856551
371,0.000666370666371
372,0.000468975468975
373,0.000707070707071
374,0.000768120768121
375,0.00047952047952
376,0.00043549043549
377,0.00042698042698
378,0.00045621045621
379,0.00040219040219
380,0.00043697043697
381,0.00035631035631
382,0.000557960557961
383,0.00037629037629
384,0.000394605394605
385,0.00039886039886
386,0.00030525030525
387,0.000311355311355
388,0.00039849039849
389,0.00045769045769
390,0.000404595404595
391,0.00048544048544
392,0.00040219040219
393,0.00026307026307
394,0.00046509046509
395,0.00042106042106
396,0.00041958041958
397,0.00041144041144
398,0.000567210567211
399,0.00038147038147
400,0.00042291042291
401,0.00032597032597
402,0.00025863025863
403,0.000507270507271
404,0.000538720538721
405,0.00033744033744
406,0.00047619047619
407,0.0004107004107
408,0.000566470566471
409,0.000426795426795
410,0.000620490620491
411,0.000583860583861
412,0.00046176046176
413,0.0003626003626
414,0.00037777037777
415,0.0003885003885
416,0.000613830613831
417,0.00032597032597
418,0.00040293040293
419,0.000362415362415
420,0.00035409035409
421,0.00049062049062
422,0.00023532023532
423,0.0002664002664
424,0.00036408036408
425,0.00029415029415
426,0.00031302031302
427,0.00037592037592
428,0.00026825026825
429,0.00039849039849
430,0.00047841047841
431,0.00031339031339
432,0.000158175158175
433,0.00034484034484
434,0.00035039035039
435,0.0002405002405
436,0.00032745032745
437,0.00033855033855
438,0.00036001036001
439,0.00036741036741
440,0.00041218041218
441,0.000513190513191
442,0.000687090687091
443,0.00043882043882
444,0.000558700558701
445,0.0004921004921
446,0.00044289044289
447,0.00048063048063
448,0.00042106042106
449,0.000801420801421
450,0.00034928034928
451,0.000617900617901
452,0.00047471047471
453,0.000265845265845
454,0.00044104044104
455,0.00044326044326
456,0.00043882043882
457,0.00039738039738
458,0.000602360602361
459,0.00040256040256
460,0.000604950604951
461,0.0003885003885
462,0.00036778036778
463,0.00038295038295
464,0.000336885336885
465,0.00039775039775
466,0.000567580567581
467,0.0004181004181
468,0.000501720501721
469,0.00049839049839
470,0.000606800606801
471,0.000505420505421
472,0.000528360528361
473,0.000516520516521
474,0.000573130573131
475,0.00043512043512
476,0.000553890553891
477,0.00046509046509
478,0.00043179043179
479,0.00046509046509
480,0.00041921041921
481,0.000641580641581
482,0.000880230880231
483,0.000718725718726
484,0.000572760572761
485,0.000622340622341
486,0.000547600547601
487,0.000601620601621
488,0.00028564028564
489,0.00038147038147
490,0.00046472046472
491,0.000487845487845
492,0.00047101047101
493,0.0003441003441
494,0.00048211048211
495,0.000521700521701
496,0.000553520553521
497,0.00040071040071
498,0.000542790542791
499,0.00040848040848
500,0.000523550523551
501,0.00035335035335
502,0.000596070596071
503,0.00046398046398
504,0.000481185481185
505,0.00038961038961
506,0.00049062049062
507,0.000557590557591
508,0.0004107004107
509,0.00049876049876
510,0.000504310504311
511,0.000514300514301
512,0.000669885669886
513,0.000809930809931
514,0.000569060569061
515,0.00044659044659
516,0.00032264032264
517,0.000492285492285
518,0.000708550708551
519,0.000583120583121
520,0.000550930550931
521,0.000564435564436
522,0.00040071040071
523,0.000603470603471
524,0.000519110519111
525,0.000557220557221
526,0.000578865578866
527,0.00042365042365
528,0.000731120731121
529,0.000556480556481
530,0.000572760572761
531,0.000617160617161
532,0.000650830650831
533,0.000737410737411
534,0.00047619047619
535,0.000795315795316
536,0.000622710622711
537,0.00038369038369
538,0.00046842046842
539,0.000732600732601
540,0.000620490620491
541,0.000803270803271
542,0.00030007030007
543,0.00045473045473
544,0.000528730528731
545,0.000587745587746
546,0.00044326044326
547,0.000587190587191
548,0.000751100751101
549,0.000655270655271
550,0.000765345765346
551,0.000618270618271
552,0.000645280645281
553,0.000704850704851
554,0.000699670699671
555,0.000788840788841
556,0.000667110667111
557,0.000607170607171
558,0.000903540903541
559,0.000625300625301
560,0.000745180745181
561,0.000806970806971
562,0.000832870832871
563,0.000796980796981
564,0.000516150516151
565,0.00117697117697
566,0.000924630924631
567,0.00104007104007
568,0.000902060902061
569,0.000767380767381
570,0.000896510896511
571,0.000793280793281
572,0.000798090798091
573,0.000764235764236
574,0.000790690790691
